wardcode,wardname,constituencycode,constituencyname
95G 16,Dunclug,N06000012,North Antrim
95Y 01,Dundonald,N06000001,Belfast East
95C 03,Dundooan,N06000006,East Londonderry
95R 19,Dundrum,N06000015,South Down
95B 06,Dungiven,N06000006,East Londonderry
95D 14,Dunloy,N06000012,North Antrim
95C 05,Dunluce,N06000006,East Londonderry
95G 08,Dunminning,N06000012,North Antrim
95R 17,Dunmore,N06000015,South Down
95S 26,Dunmurry,N06000004,Belfast West
95J 09,Dunnamanagh,N06000018,West Tyrone
95I 01,Dunnamore,N06000010,Mid Ulster
95E 03,Dunseverick,N06000012,North Antrim
95J 14,East,N06000018,West Tyrone
95A 13,Ebrington,N06000008,Foyle
95V 03,Eden,N06000005,East Antrim
95N 14,Edenderry,N06000017,Upper Bann
95Q 12,Edenderry,N06000017,Upper Bann
95A 03,Eglinton,N06000008,Foyle
95A 06,Enagh,N06000008,Foyle
95B 13,Enagh,N06000006,East Londonderry
95Y 03,Enler,N06000001,Belfast East
